ID,car,other
1,2.88,0.0
2,17.3,0.13
3,19.47,0.12000000000000001
4,21.25,0.15
5,21.21,0.13999999999999999
6,20.47,0.12000000000000001
7,0.0,0.32000000000000006
8,0.0,0.5900000000000001
9,9.72,0.0
10,7.73,0.23
11,14.09,0.21000000000000002
12,25.840000000000003,0.26
13,16.669999999999998,0.26
14,0.0,0.88
15,31.200000000000003,0.11
16,0.0,0.7
17,0.0,0.77
18,19.91,0.24000000000000002
19,0.0,0.7799999999999999
20,9.65,0.0
21,15.969999999999999,0.39
22,15.88,0.18999999999999997
23,0.0,0.5800000000000001
24,9.54,0.54
25,0.49,1.6099999999999999
26,0.0,6.57
27,0.0,5.460000000000001
28,0.0,1.65
29,10.22,0.16999999999999998
30,9.79,1.43
31,0.0,2.41
32,10.58,0.7
33,0.0,6.010000000000001
34,0.0,1.82
35,0.34,1.2000000000000002
36,20.59,1.07
37,20.13,0.0
38,0.0,1.59
39,0.0,4.390000000000001
40,0.0,5.17
41,4.05,1.08
42,0.0,8.340000000000002
43,0.0,1.13
44,0.0,2.2800000000000002
45,0.0,1.38
46,0.0,1.85
47,0.0,2.17
48,0.0,1.09
49,0.0,31.7
50,11.93,0.09
51,8.95,0.0
52,0.0,0.09
53,0.0,2.08
54,9.48,0.19999999999999998
55,0.0,1.73
56,0.0,2.05
57,3.42,0.11
58,3.58,0.01
59,4.390000000000001,0.0
60,3.56,0.0
61,4.02,0.01
62,3.64,0.02
63,2.52,0.11
64,2.7,0.0
65,3.74,0.0
66,3.54,0.0
67,6.6899999999999995,0.05
68,3.92,0.07
69,3.92,0.0
70,3.7700000000000005,0.03
71,4.13,0.060000000000000005
72,2.66,0.060000000000000005
73,3.43,0.01
74,8.17,0.02
75,3.13,0.01
76,2.64,0.06
77,4.1000000000000005,0.0
78,4.32,0.07
79,3.64,0.12000000000000001
80,3.89,0.01
81,2.5,0.18
82,2.6,0.04
83,16.799999999999997,0.15
84,11.41,0.14
85,16.78,0.12
86,18.9,0.15
87,18.049999999999997,0.15
88,16.18,0.0
89,17.41,0.15
90,16.83,0.09
91,19.64,0.12000000000000001
92,20.08,0.13
93,19.63,0.08
94,28.95,0.2
95,17.6,0.4
96,19.27,0.18
97,14.559999999999999,0.0
98,20.240000000000002,0.13
99,50.33,0.08
100,20.119999999999997,0.12
101,20.09,0.1
102,20.03,0.11
103,19.97,0.15
104,3.17,0.05
105,2.19,0.15
106,4.09,0.2
107,4.91,0.09000000000000001
108,4.0,0.13
109,5.3100000000000005,0.63
110,4.29,0.23999999999999996
111,3.98,0.14
112,3.5,0.1
113,0.0,4.81
114,62.56,0.11
115,0.0,4.859999999999999
116,4.17,0.14
117,4.359999999999999,0.04
118,3.8899999999999997,0.29000000000000004
119,5.43,0.12
120,0.0,4.81
121,0.0,4.64
122,0.0,2.24
123,11.31,0.0
124,0.58,12.430000000000001
125,0.0,11.13
126,0.0,9.76
127,2.79,5.78
128,0.0,11.31
129,12.93,0.25
130,0.0,12.42
131,0.0,12.110000000000001
132,14.76,0.08
133,0.0,12.34
134,19.33,0.18000000000000002
135,19.880000000000003,0.12000000000000001
136,20.23,0.02
137,21.939999999999998,0.08
138,21.45,0.01
139,20.97,0.0
140,21.47,0.0
141,0.0,16.78
142,9.42,8.120000000000001
143,42.22,0.04
144,29.78,0.04
145,0.0,14.660000000000002
146,0.11,14.760000000000002
147,19.92,0.08
148,0.0,0.03
149,0.0,0.54
150,18.400000000000002,0.0
