ID,bicycle,bus,car,e_scooter,light_rail,other,regional_train,train,walk
1,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.13
3,0.0,0.0,19.47,0.0,0.0,0.0,0.0,0.0,0.12000000000000001
4,0.0,0.0,21.25,0.0,0.0,0.0,0.0,0.0,0.15
5,0.0,0.0,21.21,0.0,0.0,0.0,0.0,0.0,0.13999999999999999
6,0.0,0.0,20.47,0.0,0.0,0.0,0.0,0.0,0.12000000000000001
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32000000000000006
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5900000000000001
9,0.0,0.0,9.72,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,7.73,0.0,0.0,0.0,0.0,0.0,0.23
11,0.0,0.0,14.09,0.0,0.0,0.0,0.0,0.0,0.21000000000000002
12,0.0,0.08,25.840000000000003,0.0,0.0,0.0,0.0,0.0,0.18
13,0.0,0.0,16.669999999999998,0.0,0.0,0.0,0.0,0.0,0.26
14,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29000000000000004
15,0.0,0.0,31.200000000000003,0.0,0.0,0.0,0.0,0.0,0.11
16,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003
17,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
18,0.0,0.0,19.91,0.0,0.0,0.0,0.0,0.0,0.24000000000000002
19,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999999999997
20,0.0,0.0,9.65,0.0,0.0,0.0,0.0,0.0,0.0
21,0.24000000000000002,0.0,15.969999999999999,0.0,0.0,0.0,0.0,0.0,0.15000000000000002
22,0.0,0.0,15.88,0.0,0.0,0.0,0.0,0.0,0.18999999999999997
23,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
24,0.0,0.0,9.54,0.0,0.0,0.0,0.0,0.0,0.54
25,0.95,0.37,0.49,0.0,0.0,0.0,0.0,0.0,0.29000000000000004
26,0.49,0.0,0.0,0.0,0.0,5.92,0.0,0.0,0.16000000000000003
27,0.48,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.07
28,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18999999999999997
29,0.0,0.0,10.22,0.0,0.0,0.0,0.0,0.0,0.16999999999999998
30,0.26,0.5,9.79,0.0,0.0,0.0,0.0,0.0,0.6699999999999999
31,1.3099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
32,0.0,0.32,10.58,0.0,0.0,0.0,0.0,0.0,0.38
33,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
34,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
35,0.5,0.31,0.34,0.0,0.0,0.0,0.0,0.0,0.39
36,0.0,0.0,20.59,0.0,0.0,0.0,0.0,0.0,1.07
37,0.0,0.0,20.13,0.0,0.0,0.0,0.0,0.0,0.0
38,0.97,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.29000000000000004
39,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
40,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001
41,0.0,0.0,4.05,0.0,0.0,0.0,0.0,0.0,1.08
42,5.55,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.13
43,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
44,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5900000000000001
45,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
46,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
47,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001
48,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18000000000000002
49,0.0,0.33,0.0,0.0,0.0,0.0,0.0,30.98,0.39
50,0.0,0.0,11.93,0.0,0.0,0.0,0.0,0.0,0.09
51,0.0,0.0,8.95,0.0,0.0,0.0,0.0,0.0,0.0
52,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
53,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09
54,0.0,0.0,9.48,0.0,0.0,0.0,0.0,0.0,0.19999999999999998
55,0.44,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.9600000000000001
56,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0899999999999999
57,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.11
58,0.0,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.01
59,0.0,0.0,4.390000000000001,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.01
62,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.02
63,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.11
64,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,6.6899999999999995,0.0,0.0,0.0,0.0,0.0,0.05
68,0.0,0.0,3.92,0.0,0.0,0.0,0.0,0.0,0.07
69,0.0,0.0,3.92,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,3.7700000000000005,0.0,0.0,0.0,0.0,0.0,0.03
71,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.060000000000000005
72,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.060000000000000005
73,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.01
74,0.0,0.0,8.17,0.0,0.0,0.0,0.0,0.0,0.02
75,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,0.01
76,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.06
77,0.0,0.0,4.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,4.32,0.0,0.0,0.0,0.0,0.0,0.07
79,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.12000000000000001
80,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0,0.01
81,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.18
82,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.04
83,0.0,0.0,16.799999999999997,0.0,0.0,0.0,0.0,0.0,0.15
84,0.0,0.0,11.41,0.0,0.0,0.0,0.0,0.0,0.14
85,0.0,0.0,16.78,0.0,0.0,0.0,0.0,0.0,0.12
86,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.15
87,0.0,0.0,18.049999999999997,0.0,0.0,0.0,0.0,0.0,0.15
88,0.0,0.0,16.18,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,17.41,0.0,0.0,0.0,0.0,0.0,0.15
90,0.0,0.0,16.83,0.0,0.0,0.0,0.0,0.0,0.09
91,0.0,0.0,19.64,0.0,0.0,0.0,0.0,0.0,0.12000000000000001
92,0.0,0.0,20.08,0.0,0.0,0.0,0.0,0.0,0.13
93,0.0,0.0,19.63,0.0,0.0,0.0,0.0,0.0,0.08
94,0.0,0.0,28.95,0.0,0.0,0.0,0.0,0.0,0.2
95,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.4
96,0.0,0.0,19.27,0.0,0.0,0.0,0.0,0.0,0.18
97,0.0,0.0,14.559999999999999,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,20.240000000000002,0.0,0.0,0.0,0.0,0.0,0.13
